487,461
487,466
487,470
487,473
488,478
488,478
491,483
491,483
496,489
496,489
501,493
501,493
508,497
508,497
518,500
518,500
530,501
530,501
544,501
544,501
559,501
559,501
571,500
573,499
580,497
581,495
586,492
588,489
589,486
590,484
590,481
591,477
591,474
591,470
591,467
589,464
584,460
584,460
576,457
576,457
566,455
566,455
558,454
558,454
548,454
548,454
537,454
537,454
529,456
529,456
523,457
523,457
517,459
517,459
513,461
513,461
512,462
511,462
511,463
511,464
510,464
510,465
509,466
509,467
509,468
508,469
507,472
507,472
506,474
506,474
506,476
506,476
505,477
505,477
505,477
505,477
505,478
505,478
505,478
505,478
505,478
505,478
505,478
505,478
505,478
505,478
505,478
505,478
505,478
505,478
505,478
505,478
505,478
505,478
505,478
505,478
505,478
505,478
505,478
505,478
